gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
acnA	0.0025585826377025763	3.0	0.5249135888582869	0.004778791237472329	0.5249135888582869	0.07277789046849528	7.212541961291334	5.4916899419247e-13	3.0	8.651292374264938e-13	9.954198045322258e-73	3.0	-2.367388982336161	1.29476706459083e-71	-2.367388982336161	0.6426973815770398	-3.6835205031131486	0.0002300347719754153	3.0	0.0004497956597994231
acnB											3.796279919493542e-111	31.0	-3.1893306505271366	1.584726152439746e-109	-3.1893306505271366	0.26529104598718406	-12.02200639173178	2.7227864399312657e-33	31.0	3.112994687692116e-32
acpP											3.9490215040793466e-26	2.0	-4.520648663773752	1.1735916555997395e-25	-4.520648663773752	0.61366989678892	-7.3665804489163165	1.7506031885487326e-13	2.0	7.895308350364259e-13
acrA											1.3276234788738769e-25	10.0	-1.7295790624835714	3.8623730058000143e-25	-1.7295790624835714	0.20527658371483584	-8.425603306445568	3.588961714813468e-17	10.0	2.000678968350986e-16
acrB											1.1013936493450581e-31	40.0	-1.6888567925840157	3.907117787696402e-31	-1.6888567925840157	0.1560170820729279	-10.824819757842826	2.62595297546334e-27	40.0	2.392683041094769e-26
acrD	0.004780748297507382	2.0	0.4366344052633644	0.00757619353132282	0.4366344052633644	0.1748890977683497	2.4966359300550045	0.012537760596617164	2.0	0.012727487112581105	4.568778655088225e-23	10.0	-1.6784590465473077	1.2131594209886634e-22	-1.6784590465473077	0.3312127278612036	-5.067616384750391	4.028282040137314e-07	10.0	1.1073148946472403e-06
acrF											9.128741383672785e-17	4.0	-2.900562545950078	1.9391823412654022e-16	-2.900562545950078	0.785860617958022	-3.690937654423874	0.00022342890148474372	4.0	0.00043783283642479805
acrR											0.0007450302679763809	3.0	-1.2829400897013727	0.0008403043256226034	-1.2829400897013727	0.25885089013054835	-4.956290044258056	7.185193153004896e-07	3.0	1.91072914216945e-06
acs	0.0012218208764469799	2.0	0.2963602947748152	0.0025951604367805245	0.2963602947748152	0.021321250002133446	13.899761728095717	6.355257506011149e-44	2.0	2.2941624629322758e-43	4.7597347839490116e-11	4.0	-1.2025523744804434	7.85268744226882e-11	-1.2025523744804434	0.43303718995612855	-2.7770187004083304	0.005486002252320753	4.0	0.008338165997388444
actP	0.0006931908527445756	3.0	0.4511635131523873	0.0016460726739214847	0.4511635131523873	0.044620934795566454	10.111027821793078	4.936364802239381e-24	3.0	1.119372863606395e-23	9.604533950682517e-45	7.0	-2.1417170814082325	5.272213590665174e-44	-2.1417170814082325	0.5200211195404753	-4.118519423404946	3.8131443422271704e-05	7.0	8.36747444290681e-05
