gene	gene_lfc_negative	fdr_gene_negative
aceF	-2.940514510762915	5.764132291845682e-37
lpxC	-7.552533590203496	1.0047491407783896e-36
kdsD	-4.253914102126357	1.0058429203743898e-36
tadA	-1.237671083468803	1.2345008738164649e-36
hofB	-1.8338258777918692	1.538955544871316e-36
flgE	-1.8003675996559774	2.300847195640512e-36
fdhE	-1.8670154837405601	2.9621332553176146e-36
fixX	-2.224898102480861	3.07163487981831e-36
dapB	-3.352784109663808	3.1496516457764434e-36
mobA	-3.044216749049043	6.32062846306249e-36
mdtC	-3.1089612939820537	8.165914553021998e-36
puuA	-2.3568563229226025	8.391575604539131e-36
ydcT	-1.1940789994073078	1.512280484777126e-35
rplJ	-5.774571329675593	1.670713367354855e-35
htpG	-2.819138594418181	1.8681372781521457e-35
gltP	-1.38696651347857	1.9829550127074507e-35
yjiY	-1.2887260579967823	2.173786382633084e-35
ubiX	-2.1920842313198294	2.9009475865403417e-35
argV	-6.4239598638682365	4.031229283703848e-35
srmB	-1.1775861409653279	4.383239697928291e-35
yafY	-3.8337691708199877	1.0422666441817572e-34
rnt	-3.140577349070997	1.1668043192309892e-34
atl	-3.25878509019061	1.2809264651785063e-34
tyrR	-5.712351780595315	1.4903694838238645e-34
rbsB	-1.9806211267245029	1.554764359351989e-34
parC	-3.785840430804325	1.554764359351989e-34
hybB	-2.80334339870927	1.5930590671751112e-34
ribB	-2.0089628354916456	2.9247408827179894e-34
guaC	-2.678637887807926	3.7679154214392587e-34
prs	-5.593129957291718	3.96895386275715e-34
fabB	-5.925405140113327	4.027685003764449e-34
yggF	-2.467713885293097	4.0282555593786925e-34
udp	-2.6718725170248367	4.684890482681774e-34
modB	-4.292853688613501	5.0501796746152615e-34
yfaP	-2.7625215780341303	5.19055300434025e-34
rimM	-5.884145753997726	5.236304088611974e-34
abgT	-2.3732049483808715	5.966039926496246e-34
pheS	-6.336692092186116	7.0819869953445525e-34
pbpC	-1.7858404430745407	7.5951104550358345e-34
pyrG	-4.233652593070659	9.342735220740055e-34
glxK	-2.6973734798808686	9.857269233124212e-34
gpmM	-2.191786973767067	1.0206855182164178e-33
torC	-1.0153228964761063	1.1301182438602283e-33
sfmD	-2.407896006172965	1.1425631932305804e-33
envR	-3.5665988363040166	1.2569127084371113e-33
sgcR	-1.8406047822852358	1.269552539205172e-33
rplN	-4.491198092356206	1.862268653878941e-33
hemY	-3.391697117411968	1.917260764684537e-33
yhdX	-2.462128453503358	1.9440802994206528e-33
yghF	-1.8850825086346277	1.944309908861417e-33
apaG	-1.0136943292330893	2.2696106981507105e-33
rseA	-1.7854755494326173	2.5291989924972316e-33
kdsB	-4.572051645576299	2.7653500890156612e-33
tsgA	-1.8828678308129194	2.7725972513970503e-33
cstA	-2.2667498213870902	3.307473432812125e-33
potA	-2.0154779848159645	4.1525175807461274e-33
nikC	-2.386939398907058	5.860610084781141e-33
anmK	-2.133543578268814	6.423864563835474e-33
metG	-6.202884591843973	7.05875157308644e-33
yibH	-2.560886432213986	7.995194449099097e-33
folP	-2.8585974026754397	9.206173059768205e-33
ampG	-1.9375486188818292	9.446870992536553e-33
dapD	-2.671941473070229	1.0610219389448288e-32
rpmF	-2.335948120967744	1.1553810168340007e-32
fepG	-4.015412447237393	1.3950617110447295e-32
rpsT	-4.2253833554438485	1.6306436215672216e-32
serS	-6.49750230585218	2.2766589416406568e-32
proP	-4.034210968057771	2.292270846148348e-32
ychE	-2.21144745566547	2.40768485041596e-32
rhlE	-2.3514907454080483	2.47762692318905e-32
fadI	-4.119172672513834	3.136573554391985e-32
rbbA	-2.635362131007697	3.411689098584054e-32
atpC	-2.713268355438324	3.545884324371053e-32
yhbW	-4.228302824204691	4.153167256975658e-32
treC	-2.050684777874839	4.211672327465986e-32
tsaB	-4.34594110133167	4.272467668352934e-32
nanE	-3.163138530956344	4.4935491048729155e-32
yfhH	-3.935264340216896	4.95206697348139e-32
nrdE	-4.850532939510766	5.029997645108786e-32
ubiE	-4.737308169911619	5.1318557645077e-32
waaC	-3.5337879470040967	5.753275851034731e-32
rpsN	-8.678289610276078	5.890323618329013e-32
gadB	-1.8277020390654422	7.189507954104891e-32
umuC	-2.350382055952278	7.189507954104891e-32
ychA	-3.0379357327600895	7.234712057658887e-32
lhr	-3.487388832469975	7.661433692933626e-32
umpG	-2.8574142319358486	8.692086068099166e-32
gadA	-1.8277020390654422	9.02904389588386e-32
era	-4.364587021773408	1.144581118309278e-31
ispH	-2.994367112354651	1.248086978961323e-31
hipB	-2.397404595034166	1.2732599649936999e-31
yegH	-5.956154891110853	1.4136678604118788e-31
cydC	-3.882793827326156	1.4181045952902682e-31
ghxP	-1.9069320665499425	1.5224065225789577e-31
murP	-2.6901671425531375	1.6338209443124378e-31
add	-4.485193216514052	1.7083002080687518e-31
ffs	-5.477185434374164	1.8340871915690453e-31
bglF	-1.804954195066362	2.327958589889312e-31
glnB	-5.090041695904694	2.3646459416971055e-31
dmsA	-2.4695890018355273	2.4306093121642143e-31
yihA	-3.7715674720752865	2.548559963210121e-31
ppiB	-5.076905031430028	3.146346622215769e-31
pitB	-1.2954963145112015	3.384062405742212e-31
ddpC	-1.184152974423187	3.7997090843745946e-31
rffT	-5.994225480411899	3.952685340929061e-31
fabG	-7.989064760163133	4.451745368433749e-31
can	-2.372716345091511	5.066096843456283e-31
ptrA	-1.8884977285729845	5.076610238932654e-31
tdcA	-3.1311819624578385	5.2719310841747735e-31
fkpB	-5.229000290726399	5.552370344223159e-31
yafZ	-1.8995321844941562	5.954506096288492e-31
ybiT	-1.9217560928091206	6.069594505664034e-31
rpsL	-6.206294613104915	6.4340813296111835e-31
lapB	-3.8379525577774	1.0059518801052679e-30
acrB	-1.6888567925840157	1.193410082413068e-30
ttdB	-1.9169393765640497	1.2444787548566344e-30
yiaK	-1.4557016467665789	1.6759019876431704e-30
proB	-3.3035544704248214	1.730517997436753e-30
xylE	-2.0394658841913866	1.7566931071244858e-30
mdtL	-2.141264781707184	1.7954579342281457e-30
